id,stake,blocks
0xcdb10209868775cd, 74110000, 18346
0x00000036a96efe89, 64930000, 18179
0x463e48191c7a525a, 70140000, 17727
0x618ab17e1a29d510, 71730000, 17708
0x3116c834c328af60, 69890000, 17281
0xd751362767540089, 71580000, 16338
0xd9812f8d2be808a0, 59640000, 16307
0x1b268f4c30f692b5, 64520000, 16090
0x404567269a271678, 64330000, 15882
0xa532904cbe7820ec, 64330000, 15854
0x9e734b6cd29df399, 64330000, 15809
0x3b3327c01344cd97, 71880000, 15759
0xa10865da65f78174, 75130000, 15606
0x17a6a1f289510bb9, 60810000, 15565
0xd5b90a19b9de358f, 63890000, 15519
0x0c2e0c5a1b20f96b, 47280000, 15485
0x2d10d9ee244cec1c, 50470000, 15312
0x8e0bb9b1852182b8, 71260000, 15293
0xa3e71398603f6b98, 17600000, 15246
0x77b0a93ce5fdeea1, 70890000, 15214
0x50a251d8e869f32c, 69700000, 15098
0x52e22df5fae47cd9, 73660000, 15059
0xfdc554428459eb46, 68110000, 15055
0x79c4d4fe95141cd1, 55950000, 14984
0x000000f63f54e799, 61620000, 14859
0x153806dbfe4b7edf, 72240000, 14809
0x2ba96bc293e6b572, 62570000, 14805
0x000006d9df7ddd00, 64200000, 14768
0xf0e505f835359427, 70620000, 14737
0x6b51a5aa9040aeb2, 70610000, 14706
0xd248ded376e5cee1, 58490000, 14654
0x9f1bd8716fc96766, 60190000, 14605
0x689a60c2955a9b1b, 50010000, 14598
0xd679d78b67e64037, 42000000, 14424
0x446109cd3ca2c537, 55110000, 14415
0x523484ee5baeade0, 247960, 14378
0x788898a89a433630, 57640000, 14304
0x970e9a7a4768f3da, 74030000, 14264
0xc83beb18febc3a82, 72050000, 14183
0xfcc675f8c2354442, 105430000, 14075
0xc7a434e31ad8dda4, 67380000, 13993
0x660f20fb98233d29, 54780000, 13948
0xed40b0a35c4336a4, 70530000, 13927
0x2fc4799013f54ef1, 49620000, 13884
0xfb21d3e516d3a903, 62350000, 13796
0xd9188357cfeb3aef, 44010000, 13744
0xeaa778d905f6a83d, 60130000, 13724
0x024dcb42f8b77b50, 50110000, 13697
0x71efddeadb9afee6, 46320000, 13688
0xc2c52eab7e8c866a, 51420000, 13655
0x76bfa1b2ad16cc94, 49180000, 13647
0x707725a446fe2014, 52210000, 13475
0xf76e3a11d47e33ab, 54340000, 13464
0xaef742cd56b44e45, 60710000, 13435
0x48794370bfad9ca8, 56330000, 13434
0x5b58041340a6fc33, 60840000, 13404
0x2f606921ce5d7d96, 51070000, 13389
0x5b60373e6acb927b, 72380000, 13350
0x34ae2462abbbfcb9, 71050000, 13343
0x73792979462a32ec, 24840000, 13289
0x78380abb07b99f89, 40250000, 13223
0x000046142156156e, 36740000, 13177
0xd765dee5d8bb82a7, 73830000, 13166
0x90ac71b9e7a338ae, 50000000, 13163
0xd785ff6a13d46eda, 9750000, 13134
0xe069112a7702d5c9, 53080000, 12992
0xa087620ddc583179, 32410000, 12989
0xe4abcf447ae3f6ab, 69510000, 12950
0x4b5e02dcdcf46bd0, 55540000, 12876
0x0b38a1371e3d027b, 40430000, 12863
0x33c1bf1a8862a2a1, 44480000, 12842
0x10bc63e4b00b754b, 53710000, 12735
0xf1b265f119671e7f, 18460000, 12691
0xac2d2d66653402c7, 52250000, 12572
0x83ea16a7cc6397e0, 50820000, 12550
0xe5b20e8f3bdb36bb, 69830000, 12545
0x86a19d54e4d98a58, 66680000, 12474
0x7d89d3f118155a8f, 31290000, 12468
0x30432a0b88da4922, 12230000, 12428
0xfa582440629111c5, 72130000, 12391
0x42c3740d8c8a21d4, 69010000, 12361
0xa531c8c1a310a947, 16320000, 12337
0x5ed675dd3686cb70, 59660000, 12335
0x86c8a19e7d9ec0f9, 31820000, 12303
0xcfff13491ddaaf19, 70800000, 12288
0x53215c4731ce8bce, 35540000, 12249
0xb3cc300517d9e10b, 35780000, 12241
0x6184f6e752750700, 34980000, 12177
0x24cc639f05f8a44f, 49140000, 12039
0xf8328a360d3680b3, 383340, 12023
0x7c6b4a7306563ad7, 69460000, 11946
0xe6ac159e2f42d10c, 58390000, 11913
0x2bf5a0311f20eec9, 50000000, 11684
0xfb4b7b7650ec3346, 19160000, 11617
0xbcd7cf75ad3ac210, 34970000, 11568
0x2dc733ef576e2913, 65490000, 11561
0x57eb48cd1c9a2496, 48080000, 11524
0x4511bcca32704dc9, 31530000, 11519
0x9417e18e14cf75b2, 43120000, 11510
0x0775f013c5135c3e, 45870000, 11500
0x08453273566a6b61, 42280000, 11382
0xb405a627286997c4, 27260000, 11356
0x849cdde72a20bb88, 57580000, 11311
0x91ab08282a02fb85, 27410000, 11271
0x9ca4378aa855664c, 70000000, 11258
0x661d04fd0f7b2352, 70010000, 11254
0x2885a48f3b5ebfdf, 70000000, 11246
0x120ccc0122b1aa5f, 41410000, 11228
0xa631b4637e331e5e, 35190000, 11220
0xfc2d8488d0b0aa45, 51710000, 11217
0xbf7908eaf6caf8eb, 14550000, 11124
0x9a22c0080cd29542, 43610000, 11036
0x37c37fde180b1efe, 19040000, 11012
0x1c8cd022d8b1515a, 30590000, 11004
0x36e0db925fa4e134, 52440000, 10988
0xd69b6b161d3ae25c, 62050000, 10933
0x365a5a9c7dc0b488, 70000000, 10931
0xc01546ef21f75b4e, 35730000, 10871
0x483b0d1167d9bb0e, 70020000, 10841
0xee98a72de260f2dd, 1950000, 10801
0xfe59e220f696d134, 70020000, 10751
0x8871f659a514b746, 30320000, 10715
0xd66b12182062f0e1, 70000000, 10711
0xf747045b8d7f0280, 70010000, 10710
0x04c60c78ade7e438, 38440000, 10698
0x5eb36297d99e82a1, 39250000, 10690
0x4aea697c65ab59af, 70710000, 10682
0x4fd4f6b692990d35, 70010000, 10643
0x603976461de73240, 31670000, 10629
0x842dd6ffe26c7346, 10310, 10606
0x0019cb5a457f4de4, 32610000, 10547
0x6658713ea3a0cfb4, 53610000, 10526
0xcad3d1c6f215bc0f, 30130000, 10517
0x92bda83eb7ac5c02, 70280000, 10504
0x4594f67cb4d79f32, 70020000, 10483
0xa374a14d45d9e8f6, 38720000, 10479
0xedfa208d9d1dc039, 70260000, 10449
0x03fbee96fd4a55b6, 8420000, 10317
0x6539a70b93475513, 53540000, 10310
0x95c4956f447e6443, 44020000, 10298
0xc10116450350d8da, 31880000, 10292
0x837a3cf875d0f788, 70000000, 10280
0x56b76df4de526ee4, 26570000, 10271
0x397f04ebb8e24f48, 52460000, 10254
0x83f09b0a5a2d8266, 17360000, 10191
0xc1cadab46109a7bc, 37090000, 10149
0xde950fe8a11797d4, 24270000, 10148
0x31af050912ff42e9, 17700000, 10137
0x2382bac6da0aa064, 43630000, 10127
0x75edaff51d4dc393, 22960000, 10105
0xb900dfcf58bdcd33, 70000000, 10079
0x38ee2f8d2065d9ad, 38810000, 10042
0xc6fbd4e4bab2f600, 71570000, 10033
0x72de14d7bf672ee0, 72530000, 10011
0xa5b36528aa325f1a, 42830000, 9969
0x699c814b5e2edf73, 58480000, 9947
0x89f7ebe501e12c84, 41980000, 9947
0xa980761656ffafb5, 70000000, 9921
0x243499b57d116964, 161140, 9909
0x49f23c86429392eb, 35130000, 9906
0x061f4c7b1aceb5c7, 70000000, 9893
0x71a659c30ea4c482, 30910000, 9890
0x0001a003b6cd548f, 42370000, 9878
0x266a2199899f65dd, 10330, 9863
0xe14a650c9c47e399, 23650000, 9854
0x34eb602e3c85951e, 29240000, 9847
0xbc00a90f1555ca28, 26270000, 9843
0x625ae8c8b9b01ad9, 967, 9842
0xb62772f55266e217, 6020000, 9841
0x9679eaa0f03a5316, 25910000, 9836
0x7a990e7eb94a073f, 374, 9814
0x95954fa8cce3a23e, 48070000, 9813
0x0f5812556b3db679, 868, 9802
0xb3f9883d4810ba6b, 74560000, 9776
0xce19882f11b6f62d, 16500000, 9764
0xffb3fe5827e78b7b, 3860, 9762
0xcb9a54143da95a86, 17710, 9759
0xb21ddee9ed503c2b, 8680, 9732
0x23779587d5ea4cdc, 160190, 9726
0x639288b57b4ab086, 3200, 9721
0xd497017760dd4a67, 3110, 9696
0x96a46d5aacf74fdb, 1470, 9649
0x72583cf486041d61, 4750, 9647
0xa56e07cb2f06e795, 41720000, 9647
0xa503e42a67483980, 56820000, 9637
0xc1bef45a82823ee6, 455, 9632
0x96840ebacc544855, 32770000, 9588
0x6feba2d1a235c5ac, 70990000, 9577
0xbeb5390bd6c0a392, 478, 9574
0x40ff7125d4be5299, 223, 9561
0xaa8ce95c476483b9, 69240000, 9559
0x2cf87fad2a56d015, 4300, 9553
0xb441812806138dd2, 9120, 9550
0x3caaa49b14e93606, 8990, 9517
0x9418abb3a665f4ac, 3390, 9493
0x7e00129d46c653bc, 208, 9436
0xa0fc643df5376520, 12480000, 9413
0x3200ed8a41e34317, 10200, 9409
0x662796192ac81c17, 97, 9397
0xa778422893a0444f, 1690, 9385
0x8f67312cdd4671a4, 27330000, 9382
0xa250eb51fbcddb75, 7560, 9382
0xb573268b1ef885d2, 2620000, 9342
0x7df262feefb7f549, 33910000, 9333
0x54a7cf8a4662053d, 43150000, 9324
0xd5e0f91919daa17a, 36050000, 9322
0xcb40e0cfdc153769, 70050000, 9317
0x92229dcfea86fb5f, 15670000, 9237
0x8e06d57e78d32851, 38180000, 9210
0xabacadaba3a11d9b, 60520000, 9209
0x3c68076a1d7cc086, 809460, 9159
0xcb87bf12651b371f, 42490000, 9138
0x30f9a4c5557efcee, 33080000, 9117
0x07c3053568730bb8, 70000000, 9111
0x2c88e3a7647e9c53, 195, 9091
0x90a9f9429c249896, 32440000, 9074
0x3257f318233d5b63, 30000000, 9022
0xe0d0ce686faaa19c, 44890000, 8989
0xe645c03465f25a84, 5830, 8976
0x1d297224379b5fdb, 36670000, 8969
0x3d82913db98ce830, 5610, 8969
0x2fd4fd5f0ae3ca90, 50010000, 8947
0x2352f8c7d27799a6, 23, 8935
0x82906c847c6a4184, 74, 8934
0xddeb342b2d3d784f, 40040000, 8887
0x4a2aa209fe29e642, 24570000, 8878
0x936316c2002b9eb3, 121, 8870
0xcaf8502f87f682e8, 41260, 8843
0x881b671211bb3e42, 70190000, 8839
0x2a748e389caa5091, 38090000, 8803
0x22cfa3b8ce8d91a1, 23850000, 8802
0x204f495139cb438b, 2140, 8796
0xe0ac9f1b03eaac93, 1400, 8770
0x6198d2070abe9a6a, 11260000, 8748
0x09612bc8d973554b, 21640000, 8701
0x88cc73fef3dfc438, 47310000, 8697
0x9b9890b8f564b0a3, 1500, 8680
0x533a710c85031ce3, 6, 8671
0xfcbfb4a353a0d586, 14410000, 8616
0x3a203ec10c6b3013, 35010000, 8594
0xff069b3e2bfd297b, 21450000, 8569
0xf99151a5e1c264aa, 109, 8549
0xd2b32bb4b08fdced, 432, 8543
0x89eba278bba22957, 25360000, 8530
0xfd832d27dcff556e, 11380000, 8530
0xc1d314a74a8ea3ee, 6, 8526
0x00beef87f03b1e18, 25830000, 8512
0xc51e4e6cca53110a, 22040, 8504
0x80790f580b7d50b0, 13140000, 8501
0xe2eed9f56f91d748, 37520000, 8470
0x11c660b8c9c6de9e, 32, 8444
0xb6f7db8237abaad7, 72890000, 8438
0xf4762ca1172c9a2f, 57740000, 8434
0xcf2b0acb1e5fa260, 22, 8407
0x37303e39bc6856f0, 35000000, 8390
0xe985b5690f38694d, 46220000, 8368
0x61d259840f7a57ce, 5820, 8359
0xc779f67a57f42e56, 20450000, 8350
0xa3ac6ca0730fafb8, 24350000, 8345
0x263498e02a75871e, 33950000, 8301
0x37e0b7c907e0e1b8, 35010000, 8296
0x087cb9a93b998548, 35670000, 8272
0xbdd750e1cceec822, 19510000, 8235
0x4690a6bc0d7bc7c5, 4390000, 8226
0xac5ba151180e1d65, 70000000, 8216
